name,lat,lon,x좌표,y좌표
㈜진학사,37.57275390625,126.970245361328,309234,552775
한국폴리텍대학서울강서캠퍼스,37.549243927002,126.842445373535,297912,550298
명진맨파워에이전시,37.3129501342773,127.341674804688,341842,523648
명진맨파워에이전시,37.3129501342773,127.341674804688,341842,523648
㈜시프트리서치,37.47998046875,126.980857849121,310060,542469
당일지급//용인물류//초보가능//남자우대//,37.1827812194824,127.327621459961,340494,509212
당일지급//용인물류//초보가능//남자우대//,37.1827812194824,127.327621459961,340494,509212
당일지급//용인물류//초보가능//남자우대//,37.1827812194824,127.327621459961,340494,509212
스타서치,0,0,0,0
"오산쿠팡 F팀 / 대중교통이용가능,오산역5분",37.1399230957031,127.067443847656,317346,504652
"오산쿠팡 F팀 / 대중교통이용가능,오산역5분",37.1399230957031,127.067443847656,317346,504652
"오산쿠팡 F팀 / 대중교통이용가능,오산역5분",37.1399230957031,127.067443847656,317346,504652
대학생/직장인/단기&투잡으로 최고/20세이상,37.570240020752,127.011322021484,312859,552457
겨울방학꿀알바 초보도쉽고 편하게,37.5775833129883,127.015586853027,313245,553269
직장인 대학생ㅡ투잡 단기 주말 장기ㅡ시급,37.5772590637207,127.020843505859,313709,553228
몽중화,37.4738845825195,126.885459899902,301614,541888
쿠팡로지스틱스서비스(유),37.4581413269043,127.038108825684,315098,539992
"㈜알파모델에이전시(KBS,SBS,MBC,TvN 등)",37.4661636352539,126.89623260498,302557,541020
야간/곤지암 물류센터,0,0,0,0
㈜에스코리아,37.5621452331543,126.801574707031,294319,551775
야간/곤지암 물류센터,0,0,0,0
㈜에스코리아,37.625186920166,126.836143493652,297460,558734
아우라,,,,
바로고/역삼지사,37.5136642456055,127.041633605957,315473,546151
쿠팡로지스틱스서비스(유),37.4581413269043,127.038108825684,315098,539992
애플트리(단기알바/정말 쉬운작업/초보환영,37.6379356384277,127.311912536621,339468,559733
애플트리(단기알바/정말 쉬운작업/초보환영,37.474365234375,127.122413635254,322574,541720
㈜에이치비컴퍼니,37.4750175476074,127.124084472656,322722,541791
주식회사 태원로지스,37.2351608276367,127.502410888672,356045,514929
주식회사 태원로지스,37.2351608276367,127.502410888672,356045,514929
주식회사 태원로지스,37.2351608276367,127.502410888672,356045,514929
주식회사 태원로지스,37.2351608276367,127.502410888672,356045,514929
%꿀알바 일일알바 단기알바 장기알바 휴일알,37.172233581543,127.126258850098,322604,508187
%꿀알바 일일알바 단기알바 장기알바 휴일알,37.172233581543,127.126258850098,322604,508187
평일/주말 365일 선택알바,37.4741668701172,127.123878479004,322703,541697
평일/주말 365일 선택알바,37.4741668701172,127.123878479004,322703,541697
